channel,sender,words
perrkz,armourpiercing1,6
perrkz,creyoz,3
perrkz,diskibu,16
perrkz,shadowlunar,2
perrkz,daniel_toscan_seplante,4
perrkz,kingroders,4
giantwaffle,synodai1,4
perrkz,calenhir,1
perrkz,calenhir,1
perrkz,calenhir,1
disguisedtoast,mahvelman1n,4
perrkz,linuxr1,2
perrkz,entropier,1
perrkz,moss1998,1
perrkz,suitwo,1
perrkz,ld392,17
perrkz,stormyse1337,3
perrkz,eddy_kr,1
bobross,emilylovesfoodalot,1
disguisedtoast,arfus1,1
sodapoppin,deardez,1
sodapoppin,rigsychu,1
perrkz,gorkisope,2
perrkz,g2_maro,4
perrkz,valohrak,4
perrkz,rives5,9
perrkz,8eliever,2
giantwaffle,akswitch,1
perrkz,raccoonteur,4
perrkz,luxtossama,2
perrkz,g2_maro,5
perrkz,giorgiomastrota_,7
perrkz,valohrak,3
sodapoppin,its_mech,1
perrkz,nickoone,0
perrkz,k1m4n,11
sodapoppin,saunakarhu,1
sodapoppin,smgski3,1
perrkz,shadowlunar,1
perrkz,diskibu,5
xqcow,jdwarf500,2
perrkz,blitszpt,1
perrkz,call_me_febz,6
perrkz,kingroders,1
perrkz,hiddenlnthemistps3,1
disguisedtoast,redxvelvet,1
perrkz,stormyse1337,3
sodapoppin,energetic_sugar,2
xqcow,cha2ie,2
perrkz,noesis21,0
perrkz,manus_the_father,2
xqcow,drblackguard,1
disguisedtoast,turbantaj,3
perrkz,kingroders,1
perrkz,gorkisope,1
disguisedtoast,mmythus,2
perrkz,tingsker,2
perrkz,entropier,1
perrkz,rafaelul1,2
perrkz,shadowlunar,1
sodapoppin,gerjan_rs,1
perrkz,na_less_semis_than_jankos,4
giantwaffle,dragonmasterk,1
perrkz,giorgiomastrota_,6
perrkz,kamalaly11,8
perrkz,k1m4n,1
perrkz,k1m4n,1
perrkz,gatyesz,5
sodapoppin,turneetup,2
perrkz,hiddenlnthemistps3,14
perrkz,linuxr1,5
perrkz,master2hell,1
disguisedtoast,donpara_,1
disguisedtoast,hamlet727,3
sodapoppin,zomow,4
perrkz,creyoz,2
giantwaffle,d1d0k,2
sodapoppin,hionian,1
perrkz,appliedchain1,1
perrkz,raccoonteur,2
perrkz,diskibu,1
perrkz,appliedchain1,1
sodapoppin,krtex,5
perrkz,raccoonteur,1
perrkz,kesujo,1
disguisedtoast,nubjeh,8
perrkz,kesujo,1
giantwaffle,akswitch,1
perrkz,diskibu,2
sodapoppin,skyprime_,5
sodapoppin,outcast6969,1
perrkz,kingroders,4
perrkz,ceronity,1
perrkz,azureee7,1
perrkz,doctoryeilow,0
perrkz,gatyesz,1
perrkz,nomaxd,2
perrkz,raccoonteur,1
perrkz,carloking99,1
perrkz,teambosyy,4
perrkz,shadowlunar,2
xqcow,akihiko02,1
perrkz,linuxr1,1
perrkz,clgsaparach2,5
perrkz,aloneindoom3,0
perrkz,na_less_semis_than_jankos,6
perrkz,catchingyouirl,2
perrkz,bartas777,1
perrkz,armourpiercing1,3
sodapoppin,thafallenstar,3
perrkz,aconexofficial,1
sodapoppin,xardde,1
perrkz,patatouilla,4
perrkz,luxtossama,7
perrkz,doctoryeilow,1
perrkz,marren05,1
perrkz,selfleslol,1
perrkz,elraul1703,1
perrkz,k1m4n,7
perrkz,ld392,8
perrkz,elraul1703,1
xqcow,mildly_artistic,1
perrkz,g2_maro,1
perrkz,selfleslol,3
perrkz,nomaxd,4
perrkz,expento,2
perrkz,elraul1703,1
perrkz,elraul1703,1
perrkz,nickoone,3
perrkz,k1m4n,0
perrkz,k1m4n,1
perrkz,nightbot,6
sodapoppin,extazzy12,1
perrkz,na_less_semis_than_jankos,1
perrkz,kocunar1960,1
perrkz,ld392,1
perrkz,godlikenil,1
perrkz,msanxd,1
perrkz,hiitsberny,0
perrkz,nifftyyobro,12
sodapoppin,optimuskappa,1
perrkz,skenz_,1
perrkz,candyhell1,3
perrkz,poointheloo91,1
perrkz,call_me_febz,5
bobross,schizosmurf,5
perrkz,shadowlunar,1
perrkz,monsterkeks1,4
perrkz,lowzy_,8
perrkz,eddy_kr,1
perrkz,liz4rd0,1
perrkz,vencho7,4
perrkz,helferklein,2
perrkz,nickoone,1
sodapoppin,forezter,1
perrkz,blitszpt,1
perrkz,peppo24,6
perrkz,giorgiomastrota_,7
perrkz,selfleslol,4
perrkz,kingroders,1
perrkz,toiletvann,3
perrkz,blitszpt,1
perrkz,valohrak,1
perrkz,goaster__,1
perrkz,linuxr1,0
perrkz,teambosyy,1
perrkz,diskibu,1
perrkz,earegon,1
perrkz,raccoonteur,1
perrkz,emireduardo8,1
perrkz,xxbybdezxx,1
perrkz,appliedchain1,1
perrkz,rabanex,1
perrkz,kocunar1960,1
perrkz,andreysoas,1
perrkz,baron5te,1
perrkz,norbi003,2
perrkz,rafaelul1,1
perrkz,monsterkeks1,5
sodapoppin,4lex_kropp,1
perrkz,nomaxd,3
sodapoppin,ninet94,2
xqcow,wintergengar,1
perrkz,azureee7,1
perrkz,chiibibat,2
sodapoppin,paddycukor,1
perrkz,sannin500,5
sodapoppin,the_jewishjew,1
xqcow,joshuafromfe,1
